reboot    					重启
halt	  					关机
clear 	  					清屏
ip addr   					查看ip地址
date	  					查看时间
cp		  					复制
ctrl+c    					中止
pwd		  					查看当前工作目录
cd 目录名 					改变当前工作目录
ls 目录或文件名 			列出目录和文件信息
星号“*”：					匹配任意数量的字符
问号“?”：					匹配一个的字符
mkdir 目录名				创建目录
rm [-rf] 目录或文件列表		删除目录和文件
mv 旧目录或文件名 新目录或文件名		移动目录和文件
cp [-r] 旧目录或文件名 新目录或文件名	复制目录和文件
tar zcvf 压缩包文件名 目录或文件名列表	打包压缩
tar zxvf压缩包文件名					解包解压
ping -n 包的个数 ip地址或域名			判断网络是否连通
cat 文件名					显示文本文件的内容
more 文件名					分页显示文件的内容
tail -f 文件名				显示文本文件的最后几行
wc 文件名					统计文本文件的行数、单词数和字节数
grep "内容" 文件名			搜索文件中的内容
find 目录名 -name 文件名 -print			搜索文件
groupadd 组名				增加用户组
groupdel 组名				删除用户组
useradd -n 用户名 -g 组名 -d 用户的主目录	增加用户
userdel 用户名				删除用户
passwd [用户名]				修改用户的密码
su - root 					切换用户
chown [-R] 用户名:组名 目录或文件名列表		修改目录和文件的主人和组
df [-h] [-T]				查看系统磁盘空间
chgrp						改变文件所属群组
chmod						改变文件的权限
